ID,ID_C,Title,Body,Moderation_state
3026,23001,Подробнее о физическом развитии в первые 6 месяцев — масса тела соответствует его длине/росту,"Прекрасно! Ваш ребенок хорошо растет, его вес гармонирует с длиной тела/ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за общим и физическим развитием вашего малыша.",archive
3031,23002,Подробнее о физическом развитии в 7–9 месяцев — масса тела соответствует его длине/росту,"Прекрасно! Ваш ребенок хорошо растет, его вес гармонирует с длиной тела/ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за общим и физическим развитием вашего малыша.",archive
3036,23003,Подробнее о физическом развитии в 10–12 месяцев — масса тела соответствует его длине/росту,"Прекрасно! Ваш ребенок хорошо растет, его вес гармонирует с длиной тела/ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за общим и физическим развитием вашего малыша.",archive
3041,23004,Подробнее о физическом развитии в 13–24 месяца — масса тела соответствует его длине/росту,"Прекрасно! Ваш ребенок хорошо растет, его вес гармонирует с длиной тела/ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за общим и физическим развитием вашего малыша.",archive
3046,23005,Подробнее о физическом развитии в 25–60 месяцев — масса тела соответствует росту,"Прекрасно! Ваш ребенок хорошо растет, его вес гармонирует с ростом. Продолжайте соблюдать рекомендации по оптимальному питанию, физической активности и сну. Следите за общим и физическим развитием вашего ребенка.",archive
3051,23006,Подробнее о физическом развитии в первые 6 месяцев — риск умеренного дефицита массы тела,"Внимание! Ваш ребенок потерял в весе (или не набирает его), у малыша наблюдается умеренный недобор массы тела по отношению к его длине/росту. Эта ситуация могла сформироваться в последние несколько недель. Постарайтесь выяснить ее возможные причины: перенесенное инфекционное заболевание или диарея, некоторые другие хронические болезни, недостаточное или несбалансированное питание, изменение условий ухода, ближайшего окружения (воздействие внешних факторов) и т. д. Обязательно обратитесь к педиатру, чтобы установить точную причину, откорректировать питание и определить динамику дальнейшего наблюдения за общим и физическим развитием вашего ребенка.",archive
3056,23007,Подробнее о физическом развитии в 7–9 месяцев — риск умеренного дефицита массы тела,"Внимание! Ваш ребенок потерял в весе (или не набирает его), у малыша наблюдается умеренный недобор массы тела по отношению к его длине/росту. Эта ситуация могла сформироваться в последние несколько недель. Постарайтесь выяснить ее возможные причины: перенесенное инфекционное заболевание или диарея, некоторые другие хронические болезни, недостаточное или несбалансированное питание, изменение условий ухода за ребенком, ближайшего окружения (воздействие внешних факторов) и т. д. Обязательно обратитесь к педиатру, чтобы установить точную причину, откорректировать питание и определить динамику дальнейшего наблюдения за общим и физическим развитием вашего ребенка.",archive
3061,23008,Подробнее о физическом развитии в 10–12 месяцев — риск умеренного дефицита массы тела,"Внимание! Ваш ребенок потерял в весе (или не набирает его), у малыша наблюдается умеренный недобор массы тела по отношению к его длине/росту. Эта ситуация могла сформироваться в последние несколько недель. Постарайтесь выяснить ее возможные причины: перенесенное инфекционное заболевание или диарея, некоторые другие хронические болезни, недостаточное или несбалансированное питание, изменение условий ухода за ребенком, ближайшего окружения (воздействие внешних факторов) и т. д. Обязательно обратитесь к педиатру, чтобы выяснить точную причину, откорректировать питание и определить динамику дальнейшего наблюдения за общим и физическим развитием вашего ребенка.",archive
3066,23009,Подробнее о физическом развитии в 13–24 месяца — риск умеренного дефицита массы тела,"Внимание! Ваш ребенок потерял в весе (или не набирает его), у малыша наблюдается умеренный недобор массы тела по отношению к его длине/росту. Эта ситуация могла сформироваться в последние несколько недель. Постарайтесь выяснить ее возможные причины: перенесенное инфекционное заболевание или диарея, некоторые другие хронические болезни, недостаточное или несбалансированное питание, изменение условий ухода за ребенком, ближайшего окружения (воздействие внешних факторов) и т. д. Обязательно обратитесь к педиатру, чтобы выяснить точную причину, откорректировать питание и определить динамику дальнейшего наблюдения за общим и физическим развитием вашего ребенка.",archive
3071,23010,Подробнее о физическом развитии в 25–60 месяцев —  риск умеренного дефицита массы тела,"Внимание! Ваш ребенок потерял в весе (или не набирает его), у малыша наблюдается умеренный недобор массы тела по отношению к росту. Эта ситуация могла сформироваться в последние несколько недель. Постарайтесь выяснить ее возможные причины: перенесенное инфекционное заболевание или диарея, некоторые другие хронические болезни, недостаточное или несбалансированное питание, изменение условий ухода за ребенком, ближайшего окружения (воздействие внешних факторов) и т. д. Обязательно обратитесь к педиатру, чтобы выяснить точную причину, откорректировать питание и определить динамику дальнейшего наблюдения за общим и физическим развитием ребенка.",archive
3076,23011,Подробнее о физическом развитии в первые 6 месяцев — резко выраженный дефицит массы тела,"Внимание! У вашего ребенка существенный недостаток веса относительно длины тела/роста. Эта ситуация могла сформироваться в последние несколько недель. Постарайтесь выяснить ее возможные причины: перенесенное инфекционное заболевание или продолжительная диарея, другие хронические метаболические болезни, недостаточное или несбалансированное питание, изменение условий ухода, ближайшего окружения (воздействие внешних факторов) и т. д. Срочно проконсультируйтесь с педиатром, чтобы определить точную причину и принять соответствующие меры — остановить и компенсировать потерю веса.",archive
3081,23012,Подробнее о физическом развитии в 7–9 месяцев — резко выраженный дефицит массы тела,"Внимание! У вашего ребенка существенный недостаток веса относительно длины тела/роста. Эта ситуация могла сформироваться в последние несколько недель. Постарайтесь выяснить ее возможные причины: перенесенное инфекционное заболевание или продолжительная диарея, другие хронические метаболические болезни, недостаточное или несбалансированное питание, изменение условий ухода, ближайшего окружения (воздействие внешних факторов) и т. д. Срочно проконсультируйтесь с педиатром, чтобы определить точную причину и принять соответствующие меры — остановить и компенсировать потерю веса.",archive
3086,23013,Подробнее о физическом развитии в 10–12 месяцев — резко выраженный дефицит массы тела,"Внимание! У вашего ребенка существенный недостаток веса относительно длины тела/роста. Эта ситуация могла сформироваться в последние несколько недель. Постарайтесь выяснить ее возможные причины: перенесенное инфекционное заболевание или продолжительная  диарея, другие хронические метаболические болезни, недостаточное или несбалансированное питание, изменение условий ухода, ближайшего окружения (воздействие внешних факторов) и т. д. Срочно проконсультируйтесь с педиатром, чтобы определить точную причину и принять соответствующие меры — остановить и компенсировать потерю веса.",archive
3091,23014,Подробнее о физическом развитии в 13–24 месяца — резко выраженный дефицит массы тела,"Внимание! У вашего ребенка существенный недостаток веса относительно длины тела/роста. Эта ситуация могла сформироваться в последние несколько недель. Постарайтесь выяснить ее возможные причины: перенесенное инфекционное заболевание или продолжительная диарея, другие хронические метаболические болезни, недостаточное или несбалансированное питание, изменение внешних условий и ближайшего окружения и т. д. Срочно проконсультируйтесь с педиатром, чтобы определить точную причину и принять соответствующие меры — остановить и компенсировать потерю веса.",archive
