ID,Title,Summary,Body,Cover_video,Category,Child_age,Child_gender,Parent_gender,Keywords,Related_articles,Related_video_articles,Australian_article,Mandatory_content,References_and_comments,Translation_language,Moderation_state
6281,1. mesec: Kada leži na stomaku uspeva da odigne glavu,,,9881,6,,,,86,,,0,0,,me-cnr,review_after_translation
6286,1. mesec: Beba se opušta kada je uzmete,,,11441,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6291,1. mesec: Gleda vas dok joj govorite,,,9876,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6296,"1. mesec: Oglašava se, proizvodi zvuke",,,9886,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6301,1. mesec: Otvara i zatvara šaku na dodir,,,9891,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6306,1. mesec: Slobodno pokrece ruke i noge u obe strane,,,9896,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6311,1. mesec: Uzbudi se kada joj pričate,,,9901,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6316,"2. mesec: Različito oglašava sreću, uznemirenje, glad",,,9906,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6321,"2. mesec: Guče, oglašava se",,,9911,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6326,2. mesec: Okreće glavu prema izvoru zvuka,,,9916,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6336,2. mesec: Prati očima kretanje stvari i ljudi,,,11446,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6341,2. mesec: Pravi fine pokrete rukama i nogama,,,9931,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6346,2. mesec: Dok je na stomaku oslanja se podlakticama,,,9936,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6351,"2. mesec: Okreće glavu na jednu, pa na drugu stranu",,,9941,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6356,"2. mesec: Povremeno drži šake otvorene, manipuliše njima",,,10616,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6361,2. mesec: Može kratko sama da se smiri,,,9951,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6366,3. i 4. mesec: Stavlja ruke u usta,,,9956,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6371,3. i 4. mesec: Počinje da brblja,,,11476,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6376,"3. i 4. mesec: Počinje da imitira pokrete, izraze lica, zvuke",,,11471,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6381,"3. i 4. mesec: Pokazuje da je ljuta, srećna",,,9981,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6386,3. i 4. mesec: Pomno posmatra lica ljudi,,,11466,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6391,"3. i 4. mesec: Poseže za igračkom, istražuje, trese, udara",,,9991,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6396,3. i 4. mesec: Prati očima kretanje igračke u obe strane,,,11456,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6401,3. i 4. mesec: Smeje se na ljudski lik,,,11451,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6406,3. i 4. mesec: Uspostavlja koordinaciju oko ruka,,,10006,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6411,5. i 6. mesec: Glasno iskazuje nezadovoljstvo i radost,,,11491,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6421,"5. i 6. mesec: Uzvraća oglašavanjem, spaja samoglasnike a,e,u",,,11486,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6426,5. i 6. mesec: Okreće se sa leđa na stomak,,,10026,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6431,5. i 6. mesec: Poseže za stvarima van domašaja,,,10031,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6436,5. i 6. mesec: Istražuje stvari stavljanjem u usta,,,10036,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6441,5. i 6. mesec: Uzbuđena je kada shvati da je vreme za igru,,,11496,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6446,7-9 mesec: Reaguje kada čuje svoje ime,,,10631,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6451,"7-9 mesec: Brblja, pravi slogove i mnogo različitih glasova",,,11541,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6456,7-9 mesec: I dalje stavlja predmete u usta,,,11536,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6466,7-9 mesec: Može da sedne i sedi bez podrške,,,10636,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6471,"7-9 mesec: Odguruje se, pokušava da ustane",,,11606,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6476,7-9 mesec: Počinje da razume značenje reči NE,,,10081,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6481,7-9 mesec: Počinje da komunicira pokretima,,,11531,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6486,"7-9 mesec: Podiže se u položaj za puzanje, poneko već puzi",,,11516,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6496,7-9 mesec: Prati predmet koji pada i traži kad je sakriven,,,11526,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6501,7-9 mesec: Prebacuje predmete iz ruke u ruku,,,11511,6,,,,2381,6501,6501,0,0,,me-cnr,review_after_translation
6506,7-9 mesec: Uznemiri se kada roditelj napusti prostoriju,,,11521,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6521,10-12 mesec: Imitira i koristi gestove,,,10126,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6526,10-12 mesec: Ispoljava stidljivost prema nepoznatima,,,10131,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6531,"10-12 mesec: Ponavlja slogove, govori prve reči",,,10136,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6536,"10-12 mesec: Prstima uzima male predmete, hrani se",,,10141,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6541,10-12 mesec: Razume kratku instrukciju ili nalog,,,10146,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6546,"10-12 mesec: Razume svoje ime, imenuje predmete",,,10151,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6551,10-12 mesec: Spontano deli interesovanja i radost,,,10156,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6556,"10-12 mesec: Uspravlja se, hoda uz nameštaj",,,10171,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6561,10-12 mesec: Znatiželjno ispituje igračke,,,10176,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6571,13-18 meseci: Razume i izvršava jednostavne naloge,,,10186,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6576,13-18 meseci: Igra se igara pretvaranja,,,10191,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6581,13-18 meseci: Raduje se zajedničkim aktivnostima,,,10201,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6586,13-18 meseci: Stavlja jedan predmet u drugi,,,10211,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6591,"13-18 meseci: Stoji, kreće se i hoda samostalno",,,10216,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6596,13-18 meseci: Koristi gestove za bolje sporazumevanje,,,10221,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6601,13-18 meseci: Zna kako da koristi predmete,,,10226,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6606,13-18 meseci: Žvrlja samostalno olovkom ili bojicama,,,10231,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6616,19-24 meseca: Povezuje zvuke sa životinjama,,,10241,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6621,19-24 meseca: U komunikaciji koristi kombinaciju reči i gestova,,,10246,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6626,"19-24 meseca: Hoda uz i niz stepenice, uz pridržavanje",,,10251,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6631,19-24 meseca: Igra se jednostavnih igara pretvaranja,,,10256,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6636,19-24 meseca: Igra se pored druge dece,,,10261,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6641,19-24 meseca: Imitira ponašanje odraslih i starije dece,,,10266,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6646,"19-24 meseca: Stoji na prstima, trči, skače, šutira i baca loptu preko glave",,,10271,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6656,19-24 meseca: Svrsishodno koristi igračke,,,10281,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6661,19-24 meseca: Šara samostalno po papiru,,,10286,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6666,19-24 meseca: Više koristi jednu ruku,,,10291,6,,,,2381,,,0,0,,me-cnr,review_after_translation
6796,25-36 meseca: Lakše podnosi odvajanje od roditelja,,,11546,6,,,,,,,0,0,,me-cnr,review_after_translation
6801,25-36 meseca: Razume složene reči,,,11551,6,,,,,,,0,0,,me-cnr,review_after_translation
6806,25-36 meseca: Samostalno lista slikovnice,,,11556,6,,,,,,,0,0,,me-cnr,review_after_translation
6811,25-36 meseca: Penje se uz i silazi niz stepenice,,,11561,6,,,,,,,0,0,,me-cnr,review_after_translation
6816,25-36 meseca: Izgovara rečenicu od 2 do 3 reči,,,11566,6,,,,,,,0,0,,me-cnr,review_after_translation
6821,25-36 meseca: Prepoznaje i pokazuje širok opseg emocija,,,11571,6,,,,,,,0,0,,me-cnr,review_after_translation
6826,25-36 meseca: Kopira krugove olovkom ili  bojicom,,,11576,6,,,,,,,0,0,,me-cnr,review_after_translation
6831,25-36 meseca: Razvija kompleksnu igru i uključuje druge,,,11586,6,,,,,,,0,0,,me-cnr,review_after_translation
6836,"25-36 meseca: Prati uputstva koja sadrže dva, tri naloga",,,11591,6,,,,,,,0,0,,me-cnr,review_after_translation
6841,3. i 4. mesec: Glavu drži uspravno bez pridržavanja,,,10691,6,,,,,,,0,0,,me-cnr,review_after_translation
6846,10-12 mesec: Stavlja predmete u kutiju i vadi ih,,,10706,6,,,,,,,0,0,,me-cnr,review_after_translation
6851,13-18 meseci: Izgovara reči sa značenjem,,,10701,6,,,,,,,0,0,,me-cnr,review_after_translation
6916,2 mesec: Pokazuje dosadu ili zaplače ako se aktivnost ne promeni,,,11151,6,,,,,,,0,0,,me-cnr,review_after_translation
6931,25-36 meseca: Rado se igra u društvu dece,,,11596,6,,,,,,,0,0,,me-cnr,published
